date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type,precip_mm,temp_max_c,temp_min_c,temp_mean_c,et0_mm,wind_max_ms,rh_pct,radiation_mj
2006-01-01,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,12.2,29.5,22.406451612903226,25.48709677419355,116.35,2.8680645161290323,80.83870967741936,560.6899999999999
2006-02-01,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,10.2,31.37857142857143,23.792857142857144,26.907142857142855,134.44,3.5875,72.35714285714286,584.63
2006-03-01,MyTho,10.36,106.36,19.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,10.1,32.170967741935485,24.438709677419357,27.467741935483872,154.09,3.7164516129032257,74.48387096774194,667.72
2006-04-01,MyTho,10.36,106.36,26.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,91.9,32.3,25.11,28.086666666666666,139.65,3.180333333333333,78.13333333333334,631.95
2006-05-01,MyTho,10.36,106.36,60.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,257.0,31.19677419354839,24.567741935483873,27.200000000000003,122.5,2.958064516129032,85.6774193548387,585.5
2006-06-01,MyTho,10.36,106.36,20.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,311.8,30.096666666666668,24.33,26.45,101.75,3.247333333333333,88.6,496.3
2006-07-01,MyTho,10.36,106.36,16.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,254.9,29.674193548387095,24.46451612903226,26.24516129032258,101.21000000000001,4.57774193548387,88.74193548387096,495.45
2006-08-01,MyTho,10.36,106.36,11.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,318.9,29.825806451612905,24.193548387096776,26.093548387096774,104.23,4.641935483870968,87.93548387096774,501.83
2006-09-01,MyTho,10.36,106.36,12.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,326.0,30.096666666666668,23.873333333333335,26.016666666666666,104.86,3.5263333333333335,89.33333333333333,519.05
2006-10-01,MyTho,10.36,106.36,10.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,220.2,29.932258064516127,23.835483870967742,26.203225806451613,103.93,2.799032258064516,88.12903225806451,505.82
2006-11-01,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,50.300000000000004,30.773333333333333,24.173333333333336,26.996666666666666,121.08,3.005333333333333,82.56666666666666,573.19
2006-12-01,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,50.0,30.770967741935483,23.106451612903225,26.46451612903226,122.89,2.866129032258064,76.7741935483871,564.0
2007-01-01,MyTho,10.36,106.36,14.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,83.1,29.47741935483871,22.648387096774194,25.432258064516127,114.09,3.111290322580645,79.09677419354838,526.26
2007-02-01,MyTho,10.36,106.36,16.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,2.1,30.760714285714283,22.635714285714283,25.860714285714288,135.75,3.807857142857143,73.39285714285714,609.68
2007-03-01,MyTho,10.36,106.36,46.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,54.3,31.716129032258067,24.416129032258063,27.306451612903224,146.29,3.6861290322580644,76.16129032258064,637.92
2007-04-01,MyTho,10.36,106.36,168.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,79.0,32.836666666666666,25.48,28.470000000000002,150.47,3.594666666666667,75.46666666666667,648.3
2007-05-01,MyTho,10.36,106.36,38.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,317.0,30.70967741935484,24.725806451612904,26.91290322580645,111.33,3.094193548387097,88.25806451612904,536.87
2007-06-01,MyTho,10.36,106.36,21.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,303.9,30.80666666666667,24.8,27.013333333333332,108.09,2.833666666666667,88.53333333333333,523.66
2007-07-01,MyTho,10.36,106.36,19.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,240.0,29.835483870967742,24.33225806451613,26.322580645161292,98.44,3.5567741935483874,89.06451612903226,477.86
2007-08-01,MyTho,10.36,106.36,14.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,277.9,29.783870967741933,24.425806451612903,26.258064516129032,103.03,4.416774193548386,87.41935483870968,490.27
2007-09-01,MyTho,10.36,106.36,15.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,299.4,30.253333333333334,24.14,26.363333333333333,102.43,3.7083333333333335,88.4,497.08
2007-10-01,MyTho,10.36,106.36,15.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,344.8,29.461290322580645,23.429032258064513,25.65806451612903,95.98,3.0493548387096774,89.93548387096774,472.83
2007-11-01,MyTho,10.36,106.36,16.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,159.9,28.696666666666665,22.64,25.173333333333336,102.25,3.195666666666667,83.8,489.53
2007-12-01,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,16.3,30.23225806451613,22.91290322580645,26.009677419354837,114.1,2.8390322580645164,79.80645161290323,536.39
2008-01-01,MyTho,10.36,106.36,14.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,36.0,30.12258064516129,22.822580645161292,25.761290322580646,117.18,3.24741935483871,77.19354838709677,528.5600000000001
2008-02-01,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,11.4,31.28965517241379,22.686206896551724,26.162068965517243,132.73,3.469310344827586,72.34482758620689,589.26
2008-03-01,MyTho,10.36,106.36,18.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,16.8,32.03225806451613,23.664516129032258,27.05483870967742,160.15,3.6683870967741936,72.96774193548387,703.6
2008-04-01,MyTho,10.36,106.36,44.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,136.2,32.29666666666667,25.03666666666667,28.03666666666667,142.69,3.5959999999999996,77.76666666666667,628.4
2008-05-01,MyTho,10.36,106.36,25.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,270.8,30.325806451612905,24.274193548387096,26.38064516129032,107.28,3.69,88.41935483870968,521.6
2008-06-01,MyTho,10.36,106.36,22.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,220.1,30.186666666666667,24.48,26.65666666666667,108.73,3.4623333333333335,86.96666666666667,525.8100000000001
2008-07-01,MyTho,10.36,106.36,15.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,258.1,30.38064516129032,24.325806451612905,26.480645161290322,115.11,3.8538709677419356,86.87096774193549,558.18
2008-08-01,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,243.7,30.03548387096774,23.958064516129035,26.238709677419354,111.72,3.623548387096774,87.83870967741936,546.44
2008-09-01,MyTho,10.36,106.36,17.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,346.8,29.663333333333334,24.02,25.996666666666666,95.99,3.8729999999999998,88.83333333333333,464.97
2008-10-01,MyTho,10.36,106.36,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,289.5,30.112903225806452,23.787096774193547,26.26774193548387,104.89,2.5067741935483867,89.3225806451613,516.56
2008-11-01,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,231.0,28.766666666666666,22.83,25.313333333333333,90.71,3.1376666666666666,87.26666666666667,436.46
2008-12-01,MyTho,10.36,106.36,16.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,141.7,28.893548387096775,22.05806451612903,25.051612903225806,99.55,2.580322580645161,84.03225806451613,489.63
2009-01-01,MyTho,10.36,106.36,21.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,19.9,28.42258064516129,21.019354838709678,24.238709677419354,111.55,2.7516129032258063,80.16129032258064,547.31
2009-02-01,MyTho,10.36,106.36,17.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,46.0,30.264285714285712,23.142857142857142,26.075,117.48,3.1960714285714285,80.78571428571429,556.24
2009-03-01,MyTho,10.36,106.36,25.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,38.9,32.016129032258064,24.787096774193547,27.77741935483871,151.06,3.66,77.0,673.95
2009-04-01,MyTho,10.36,106.36,159.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,158.1,32.25666666666667,25.44333333333333,28.096666666666668,133.5,3.7146666666666666,79.83333333333333,587.79
2009-05-01,MyTho,10.36,106.36,26.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,293.8,30.280645161290323,24.270967741935483,26.59032258064516,104.62,2.8474193548387094,89.25806451612904,509.46
2009-06-01,MyTho,10.36,106.36,22.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,164.9,30.826666666666664,24.933333333333334,27.146666666666665,116.13,3.976,85.93333333333334,556.3199999999999
2009-07-01,MyTho,10.36,106.36,17.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,200.9,30.19677419354839,24.59032258064516,26.574193548387097,109.07000000000001,4.23258064516129,87.35483870967742,520.88
2009-08-01,MyTho,10.36,106.36,10.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,255.0,30.716129032258067,24.851612903225806,26.996774193548386,119.52,3.720322580645161,86.19354838709677,566.93
2009-09-01,MyTho,10.36,106.36,13.41,mS/m,Unverified data,Raw - Not Yet Reviewed,O,312.7,29.626666666666665,24.40666666666667,26.113333333333333,89.94,4.358333333333333,89.53333333333333,429.31
2009-10-01,MyTho,10.36,106.36,11.26,mS/m,Unverified data,Raw - Not Yet Reviewed,O,288.2,30.006451612903227,23.774193548387096,26.083870967741937,103.58,2.9983870967741937,88.7741935483871,508.89
2009-11-01,MyTho,10.36,106.36,12.44,mS/m,Unverified data,Raw - Not Yet Reviewed,O,77.0,29.85666666666667,23.78666666666667,26.42,104.36,3.0873333333333335,82.33333333333333,484.93
2009-12-01,MyTho,10.36,106.36,14.38,mS/m,Unverified data,Raw - Not Yet Reviewed,O,21.2,30.23225806451613,23.190322580645162,26.129032258064516,125.69,3.1538709677419354,76.87096774193549,575.26
2010-01-01,MyTho,10.36,106.36,18.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,72.0,29.783870967741933,23.20967741935484,25.896774193548385,124.17999999999999,3.617096774193548,76.25806451612904,557.96
2010-02-01,MyTho,10.36,106.36,19.09,mS/m,Unverified data,Raw - Not Yet Reviewed,O,1.9000000000000001,31.196428571428573,23.77857142857143,26.717857142857145,136.55,4.135714285714285,76.21428571428571,613.55
2010-03-01,MyTho,10.36,106.36,26.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,12.299999999999999,32.854838709677416,25.0,28.174193548387095,164.03,3.996451612903226,70.96774193548387,677.37
2010-04-01,MyTho,10.36,106.36,141.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,39.5,34.09,26.063333333333333,29.283333333333335,166.43,3.6986666666666665,72.06666666666666,700.82
2010-05-01,MyTho,10.36,106.36,260.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,126.9,33.91290322580645,26.593548387096774,29.493548387096773,150.05,3.357741935483871,77.45161290322581,653.3
2010-06-01,MyTho,10.36,106.36,24.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,294.5,31.326666666666664,25.236666666666668,27.44333333333333,112.71,3.442,87.26666666666667,542.17
2010-07-01,MyTho,10.36,106.36,27.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,289.3,30.4741935483871,24.55806451612903,26.748387096774195,110.17,3.3593548387096774,88.12903225806451,536.62
2010-08-01,MyTho,10.36,106.36,18.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,273.9,30.42258064516129,24.34193548387097,26.570967741935487,109.31,3.5390322580645157,88.58064516129032,529.2
2010-09-01,MyTho,10.36,106.36,17.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,292.3,30.726666666666667,24.290000000000003,26.703333333333333,113.59,2.8506666666666667,87.66666666666667,553.57
2010-10-01,MyTho,10.36,106.36,15.78,mS/m,Unverified data,Raw - Not Yet Reviewed,O,412.9,29.274193548387096,23.438709677419357,25.580645161290324,84.53,3.106451612903226,91.03225806451613,408.84
2010-11-01,MyTho,10.36,106.36,15.43,mS/m,Unverified data,Raw - Not Yet Reviewed,O,348.6,29.18,22.983333333333334,25.416666666666668,88.7,2.5683333333333334,90.23333333333333,439.0
2010-12-01,MyTho,10.36,106.36,19.12,mS/m,Unverified data,Raw - Not Yet Reviewed,O,93.6,28.932258064516127,22.716129032258067,25.42258064516129,95.19,2.3970967741935483,85.80645161290323,469.55
2011-01-01,MyTho,10.36,106.36,17.63,mS/m,Unverified data,Raw - Not Yet Reviewed,O,37.6,28.81935483870968,21.94193548387097,25.074193548387097,109.99,2.649677419354839,80.96774193548387,533.24
2011-02-01,MyTho,10.36,106.36,25.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,2.4,30.717857142857145,22.925,26.010714285714283,131.03,3.6703571428571427,73.46428571428571,581.29
2011-03-01,MyTho,10.36,106.36,29.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,98.60000000000001,30.61935483870968,23.938709677419357,26.625806451612902,128.45,3.670645161290323,76.45161290322581,555.23
2011-04-01,MyTho,10.36,106.36,23.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,96.0,31.259999999999998,24.396666666666665,27.246666666666666,139.0,3.3253333333333335,78.86666666666666,634.51
2011-05-01,MyTho,10.36,106.36,26.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,268.9,31.27741935483871,24.90967741935484,27.287096774193547,119.01,3.0164516129032255,86.64516129032258,570.6899999999999
2011-06-01,MyTho,10.36,106.36,22.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,223.3,30.323333333333334,24.72666666666667,26.746666666666666,107.21000000000001,4.1066666666666665,86.9,511.69
2011-07-01,MyTho,10.36,106.36,14.97,mS/m,Unverified data,Raw - Not Yet Reviewed,O,227.79999999999998,30.387096774193548,24.490322580645163,26.593548387096774,115.69,4.043225806451613,87.09677419354838,562.84
2011-08-01,MyTho,10.36,106.36,11.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,289.0,30.490322580645163,24.325806451612905,26.509677419354837,114.46000000000001,3.668709677419355,88.0,557.96
2011-09-01,MyTho,10.36,106.36,12.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,320.5,29.496666666666666,24.146666666666665,25.966666666666665,95.51,4.444999999999999,89.16666666666667,467.6
2011-10-01,MyTho,10.36,106.36,13.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,224.29999999999998,30.280645161290323,23.625806451612902,26.23548387096774,111.44,3.0341935483870968,88.41935483870968,548.47
2011-11-01,MyTho,10.36,106.36,12.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,197.1,30.183333333333334,23.733333333333334,26.433333333333334,104.33,2.8483333333333336,85.8,507.96000000000004
2011-12-01,MyTho,10.36,106.36,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,86.4,28.496774193548386,22.606451612903225,25.103225806451615,96.84,2.7719354838709678,81.96774193548387,459.27
2012-01-01,MyTho,10.36,106.36,13.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,33.1,29.62258064516129,22.938709677419357,25.683870967741935,109.44,3.3535483870967746,79.74193548387096,505.35
2012-02-01,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,32.7,30.886206896551727,23.53448275862069,26.5,129.26,3.3210344827586207,76.96551724137932,588.55
2012-03-01,MyTho,10.36,106.36,17.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,114.5,32.35806451612903,24.719354838709677,27.783870967741933,149.12,3.4706451612903226,76.48387096774194,658.05
2012-04-01,MyTho,10.36,106.36,48.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,118.1,31.69333333333333,24.75,27.596666666666668,135.04,3.2693333333333334,81.83333333333333,631.87
2012-05-01,MyTho,10.36,106.36,50.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,271.3,31.067741935483873,24.825806451612905,27.10967741935484,117.95,3.784838709677419,86.61290322580645,564.52
2012-06-01,MyTho,10.36,106.36,21.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,222.1,30.446666666666665,25.033333333333335,27.013333333333332,115.17,4.6483333333333325,84.96666666666667,539.87
2012-07-01,MyTho,10.36,106.36,18.84,mS/m,Unverified data,Raw - Not Yet Reviewed,O,272.2,30.032258064516128,24.461290322580645,26.44516129032258,110.12,4.118064516129032,87.38709677419355,530.4399999999999
2012-08-01,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,194.6,30.27741935483871,24.654838709677417,26.725806451612904,119.78999999999999,4.525483870967742,85.2258064516129,565.87
2012-09-01,MyTho,10.36,106.36,16.59,mS/m,Unverified data,Raw - Not Yet Reviewed,O,388.3,29.040000000000003,23.69333333333333,25.44,82.81,3.7176666666666667,91.9,413.81
2012-10-01,MyTho,10.36,106.36,13.28,mS/m,Unverified data,Raw - Not Yet Reviewed,O,219.6,29.98709677419355,23.74516129032258,26.345161290322583,110.05,2.648064516129032,87.41935483870968,538.14
2012-11-01,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,135.3,29.87,24.206666666666667,26.563333333333333,103.19,3.4276666666666666,85.26666666666667,491.53
2012-12-01,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,19.7,30.990322580645163,24.14516129032258,27.11935483870968,124.56,3.2070967741935483,76.70967741935483,554.47
2013-01-01,MyTho,10.36,106.36,17.03,mS/m,Unverified data,Raw - Not Yet Reviewed,O,66.6,29.703225806451613,22.951612903225808,25.690322580645162,117.38,3.291935483870968,77.7741935483871,535.49
2013-02-01,MyTho,10.36,106.36,22.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,14.099999999999998,31.914285714285715,24.00714285714286,27.139285714285712,140.43,4.239285714285715,69.14285714285714,571.96
2013-03-01,MyTho,10.36,106.36,72.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,9.8,33.196774193548386,24.948387096774194,28.274193548387096,163.12,3.6961290322580647,71.7741935483871,693.86
2013-04-01,MyTho,10.36,106.36,38.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,145.7,32.39333333333333,25.826666666666664,28.453333333333333,130.44,3.3473333333333333,79.33333333333333,575.89
2013-05-01,MyTho,10.36,106.36,27.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,241.2,31.883870967741935,25.46451612903226,27.86774193548387,125.96,3.169677419354839,85.19354838709677,596.08
2013-06-01,MyTho,10.36,106.36,21.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,281.9,30.029999999999998,24.776666666666664,26.716666666666665,96.97,3.5923333333333334,89.06666666666666,469.81
2013-07-01,MyTho,10.36,106.36,20.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,286.2,29.825806451612905,24.225806451612904,26.23225806451613,105.02,3.9670967741935486,88.09677419354838,507.91
2013-08-01,MyTho,10.36,106.36,16.67,mS/m,Unverified data,Raw - Not Yet Reviewed,O,246.7,29.88064516129032,24.31935483870968,26.25483870967742,109.57,4.2212903225806455,87.35483870967742,526.25
2013-09-01,MyTho,10.36,106.36,20.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,249.9,30.086666666666666,24.21333333333333,26.28666666666667,101.4,3.759333333333333,88.43333333333334,489.12
2013-10-01,MyTho,10.36,106.36,14.37,mS/m,Unverified data,Raw - Not Yet Reviewed,O,223.70000000000002,30.12258064516129,23.461290322580645,25.990322580645163,108.59,2.866774193548387,88.64516129032258,536.84
2013-11-01,MyTho,10.36,106.36,14.52,mS/m,Unverified data,Raw - Not Yet Reviewed,O,140.3,29.58,23.566666666666666,26.13,99.45,2.9903333333333335,85.93333333333334,481.97
2013-12-01,MyTho,10.36,106.36,13.92,mS/m,Unverified data,Raw - Not Yet Reviewed,O,25.499999999999996,28.80322580645161,22.177419354838708,25.08709677419355,101.53999999999999,2.5412903225806454,80.25806451612904,486.75
2014-01-01,MyTho,10.36,106.36,15.76,mS/m,Unverified data,Raw - Not Yet Reviewed,O,6.7,29.041935483870965,20.89032258064516,24.451612903225808,121.16,2.9977419354838712,73.70967741935483,570.57
2014-02-01,MyTho,10.36,106.36,14.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,3.3,30.353571428571428,22.24285714285714,25.478571428571428,132.25,3.808928571428571,73.5,590.72
2014-03-01,MyTho,10.36,106.36,20.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,6.1,32.55161290322581,24.387096774193548,27.60967741935484,170.62,4.25,70.6774193548387,712.81
2014-04-01,MyTho,10.36,106.36,24.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,70.7,33.47666666666667,25.366666666666667,28.756666666666668,147.52,2.7329999999999997,74.83333333333333,656.23
2014-05-01,MyTho,10.36,106.36,23.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,176.7,32.73225806451613,25.654838709677417,28.4,137.97,2.9706451612903226,82.3225806451613,636.71
2014-06-01,MyTho,10.36,106.36,25.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,263.7,30.956666666666667,25.223333333333336,27.183333333333334,102.23,4.010666666666667,87.9,486.1
2014-07-01,MyTho,10.36,106.36,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,276.9,29.9,24.641935483870967,26.483870967741936,100.21,4.245483870967742,88.35483870967742,485.86
2014-08-01,MyTho,10.36,106.36,11.87,mS/m,Unverified data,Raw - Not Yet Reviewed,O,253.7,30.47741935483871,24.206451612903226,26.58709677419355,119.52,3.565483870967742,86.80645161290323,578.12
2014-09-01,MyTho,10.36,106.36,12.16,mS/m,Unverified data,Raw - Not Yet Reviewed,O,206.5,30.363333333333333,24.096666666666668,26.396666666666665,109.12,3.6123333333333334,87.16666666666667,530.05
2014-10-01,MyTho,10.36,106.36,14.48,mS/m,Unverified data,Raw - Not Yet Reviewed,O,308.6,30.051612903225806,23.751612903225805,26.161290322580644,103.33,2.583870967741935,89.29032258064517,507.89
2014-11-01,MyTho,10.36,106.36,13.91,mS/m,Unverified data,Raw - Not Yet Reviewed,O,141.6,30.23,23.953333333333333,26.623333333333335,105.61,2.8346666666666667,86.2,511.09
2014-12-01,MyTho,10.36,106.36,16.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,105.5,29.36774193548387,22.980645161290322,25.67096774193548,104.19,3.105483870967742,82.6774193548387,491.25
2015-01-01,MyTho,10.36,106.36,18.16,mS/m,Unverified data,Raw - Not Yet Reviewed,O,17.2,29.4,21.6,24.929032258064513,120.83,3.2129032258064516,77.35483870967742,569.17
2015-02-01,MyTho,10.36,106.36,41.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,1.7,30.185714285714287,22.035714285714285,25.353571428571428,131.62,3.879642857142857,72.21428571428571,585.28
2015-03-01,MyTho,10.36,106.36,42.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,2.3,32.29677419354839,24.461290322580645,27.532258064516128,170.81,4.2380645161290325,70.29032258064517,710.92
2015-04-01,MyTho,10.36,106.36,31.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,40.400000000000006,33.39,25.426666666666666,28.743333333333332,162.55,3.392333333333333,72.6,695.27
2015-05-01,MyTho,10.36,106.36,29.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,110.6,33.96774193548387,26.177419354838708,29.200000000000003,149.12,3.250967741935484,75.7741935483871,655.78
2015-06-01,MyTho,10.36,106.36,40.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,174.6,31.55666666666667,25.16,27.563333333333333,115.66,3.5323333333333333,84.23333333333333,537.56
2015-07-01,MyTho,10.36,106.36,21.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,157.7,30.919354838709676,25.190322580645162,27.23548387096774,118.85,4.1496774193548385,84.93548387096774,553.15
2015-08-01,MyTho,10.36,106.36,14.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,238.3,30.76451612903226,24.809677419354838,26.883870967741935,119.35,3.904193548387097,86.35483870967742,572.15
2015-09-01,MyTho,10.36,106.36,13.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,285.2,30.436666666666667,24.446666666666665,26.623333333333335,107.85,3.6443333333333334,87.9,523.22
2015-10-01,MyTho,10.36,106.36,12.08,mS/m,Unverified data,Raw - Not Yet Reviewed,O,266.5,30.670967741935485,24.093548387096774,26.66774193548387,114.13,2.7580645161290325,87.45161290322581,550.57
2015-11-01,MyTho,10.36,106.36,13.86,mS/m,Unverified data,Raw - Not Yet Reviewed,O,126.2,30.35666666666667,24.523333333333333,26.87,109.76,3.353333333333333,84.96666666666667,523.88
2015-12-01,MyTho,10.36,106.36,16.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,49.2,30.406451612903226,23.996774193548386,26.67096774193548,120.64,3.478709677419355,79.41935483870968,552.73
2016-01-01,MyTho,10.36,106.36,173.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,4.5,31.451612903225808,24.270967741935483,27.141935483870967,138.93,3.8570967741935482,74.41935483870968,598.45
2016-02-01,MyTho,10.36,106.36,91.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,2.1,32.05172413793103,23.56551724137931,26.975862068965515,146.52,3.770344827586207,68.86206896551724,618.7
2016-03-01,MyTho,10.36,106.36,385.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,0.1,33.067741935483866,24.287096774193547,27.761290322580646,169.09,3.898064516129032,69.93548387096774,706.65
2016-04-01,MyTho,10.36,106.36,103.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,5.0,34.85,25.90666666666667,29.67,171.44,3.2953333333333332,69.6,715.92
2016-05-01,MyTho,10.36,106.36,32.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,198.1,33.096774193548384,26.325806451612905,29.02258064516129,132.66,3.44741935483871,79.6774193548387,580.62
2016-06-01,MyTho,10.36,106.36,32.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,249.6,31.006666666666668,24.873333333333335,27.126666666666665,107.8,3.445666666666667,87.3,513.68
2016-07-01,MyTho,10.36,106.36,16.29,mS/m,Unverified data,Raw - Not Yet Reviewed,O,235.1,30.55806451612903,24.52258064516129,26.845161290322583,113.33,3.269032258064516,87.25806451612904,546.88
2016-08-01,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O,171.6,30.503225806451614,25.225806451612904,27.135483870967743,116.3,4.491612903225806,85.16129032258064,544.2
2016-09-01,MyTho,10.36,106.36,23.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,289.1,30.233333333333334,24.626666666666665,26.55666666666667,102.01,3.8329999999999997,87.86666666666666,489.26
2016-10-01,MyTho,10.36,106.36,14.07,mS/m,Unverified data,Raw - Not Yet Reviewed,O,492.3,29.248387096774195,24.0258064516129,25.703225806451613,78.25,3.2638709677419357,92.87096774193549,387.62
2016-11-01,MyTho,10.36,106.36,14.06,mS/m,Unverified data,Raw - Not Yet Reviewed,O,215.9,29.903333333333332,24.0,26.363333333333333,96.04,2.6790000000000003,88.66666666666667,471.44
2016-12-01,MyTho,10.36,106.36,18.19,mS/m,Unverified data,Raw - Not Yet Reviewed,O,177.8,28.596774193548388,23.316129032258065,25.44516129032258,82.95,3.067096774193548,87.3225806451613,394.62
2017-01-01,MyTho,10.36,106.36,17.15,mS/m,Unverified data,Raw - Not Yet Reviewed,O,80.10000000000001,29.75483870967742,23.20967741935484,26.009677419354837,113.21,3.567741935483871,81.48387096774194,529.21
2017-02-01,MyTho,10.36,106.36,20.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,43.400000000000006,30.657142857142855,22.646428571428572,26.021428571428572,121.1,3.600357142857143,78.03571428571429,559.7
